ticker,,mean,std,skew,kurt,log_ret,sector
HPQ,L2,3.818048228868389e-05,0.014036466197927887,-17.533873793807423,834.4680083224043,0.0034095045653521256,Industrial
HPQ,L3/L2,3.818048228868389e-05,0.014036466197927887,-17.533873793807423,834.4680083224043,-0.008637765527384558,Industrial
HPQ,L4/L2,3.818048228868389e-05,0.014036466197927887,-17.533873793807423,834.4680083224043,0.7622021159516847,Industrial
IBM,L1,-2.8891774917633745e-06,0.0025972237862747823,-1.7236786874685182,295.9994297415314,-2.889177491763377e-06,Industrial
IBM,L2,-2.8891774917633745e-06,0.0025972237862747823,-1.7236786874685182,295.9994297415314,0.00028914166370984243,Industrial
IBM,L3/L2,-2.8891774917633745e-06,0.0025972237862747823,-1.7236786874685182,295.9994297415314,-0.010064657840819708,Industrial
IBM,L4/L2,-2.8891774917633745e-06,0.0025972237862747823,-1.7236786874685182,295.9994297415314,0.9661611426043801,Industrial
INTC,L1,-0.00023340950459637498,0.025625861361686066,-3.3648137059708243,78.89307220424264,-0.00023340950459637395,Industrial
INTC,L2,-0.00023340950459637498,0.025625861361686066,-3.3648137059708243,78.89307220424264,0.01231695333252806,Industrial
INTC,L3/L2,-0.00023340950459637498,0.025625861361686066,-3.3648137059708243,78.89307220424264,-0.03259203355668951,Industrial
INTC,L4/L2,-0.00023340950459637498,0.025625861361686066,-3.3648137059708243,78.89307220424264,0.2635718441652984,Industrial
LMT,L1,3.0002306953956703e-05,0.002163564254246628,13.322861037728527,533.2073951484954,3.0002306953956703e-05,Industrial
LMT,L2,3.0002306953956703e-05,0.002163564254246628,13.322861037728527,533.2073951484954,0.00018098696204792549,Industrial
LMT,L3/L2,3.0002306953956703e-05,0.002163564254246628,13.322861037728527,533.2073951484954,0.16510536434670897,Industrial
LMT,L4/L2,3.0002306953956703e-05,0.002163564254246628,13.322861037728527,533.2073951484954,0.9821679030029375,Industrial
MMM,L1,-1.9282338799964994e-05,0.0023777500597100794,-6.3976438523149,639.1754370608136,-1.9282338799964984e-05,Industrial
MMM,L2,-1.9282338799964994e-05,0.0023777500597100794,-6.3976438523149,639.1754370608136,0.00019390374569756602,Industrial
MMM,L3/L2,-1.9282338799964994e-05,0.0023777500597100794,-6.3976438523149,639.1754370608136,-0.09656402421473294,Industrial
MMM,L4/L2,-1.9282338799964994e-05,0.0023777500597100794,-6.3976438523149,639.1754370608136,0.9816539699779497,Industrial
MSFT,L1,0.00020441987398278754,0.02079477738508286,-5.208565561260264,167.43302335686664,0.0002044198739827874,Industrial
MSFT,L2,0.00020441987398278754,0.02079477738508286,-5.208565561260264,167.43302335686664,0.009738820738720124,Industrial
MSFT,L3/L2,0.00020441987398278754,0.02079477738508286,-5.208565561260264,167.43302335686664,-0.02229915027789134,Industrial
MSFT,L4/L2,0.00020441987398278754,0.02079477738508286,-5.208565561260264,167.43302335686664,0.26833367952862014,Industrial
NVDA,L1,0.00016759721769241822,0.053385358440277926,-17.10350126272651,641.8062461503135,0.00016759721769242088,Industrial
NVDA,L2,0.00016759721769241822,0.053385358440277926,-17.10350126272651,641.8062461503135,0.019688279109664378,Industrial
NVDA,L3/L2,0.00016759721769241822,0.053385358440277926,-17.10350126272651,641.8062461503135,-0.04477981416027636,Industrial
NVDA,L4/L2,0.00016759721769241822,0.053385358440277926,-17.10350126272651,641.8062461503135,0.2931374224544719,Industrial
ORCL,L1,3.4106839317751483e-06,0.003003210033589031,-12.537907111442385,1448.8905148854835,3.410683931775149e-06,Industrial
ORCL,L2,3.4106839317751483e-06,0.003003210033589031,-12.537907111442385,1448.8905148854835,0.0001398884172571696,Industrial
ORCL,L3/L2,3.4106839317751483e-06,0.003003210033589031,-12.537907111442385,1448.8905148854835,0.023768046858018664,Industrial
