ticker,logl,aic,bic,persistence,model,nu,mean,std,skew,kurt,m_hat,sigma_hat,sector
ADP,-26105.109347627546,52218.21869525509,52245.20492467326,1.1302141672789223,EGARCH_StudentT,,,,,,,,
CAT,-33170.16753606964,66348.33507213928,66375.32130155746,1.0958060032694688,EGARCH_StudentT,,,,,,,,
DE,-28884.375304388966,57776.75060877793,57803.736838196106,1.5107717036464476,EGARCH_StudentT,,,,,,,,
HON,-29216.03301705745,58440.0660341149,58467.05226353307,1.1059111674276028,EGARCH_StudentT,,,,,,,,
UPS,-66035.96698919532,132079.93397839065,132106.9202078088,0.999386296287355,EGARCH_StudentT,,,,,,,,
FDX,-27667.036810697613,55342.073621395226,55369.0598508134,1.155114808912487,EGARCH_StudentT,,,,,,,,
UNP,-33185.9064461911,66379.8128923822,66406.79912180037,1.0547865383338133,EGARCH_StudentT,,,,,,,,
BA,-31906.505735905623,63821.01147181125,63847.99770122943,1.2845407302094731,EGARCH_StudentT,,,,,,,,
PH,-66554.6126796057,133117.2253592114,133144.21158862958,1.0,EGARCH_StudentT,,,,,,,,
EMR,-28233.37245604581,56474.74491209162,56501.731141509794,1.1444183281977105,EGARCH_StudentT,,,,,,,,
AAPL,,,,,PearsonVII,,0.0003428247552389,0.0064372256201927,0.0111981721440077,0.5936863575155971,2.640756272478071,0.0064372256201927,Industrial
ADBE,,,,,PearsonVII,,3.8532524925244334e-05,0.0020223984390862,0.0069357206529779,0.8576788377295403,5.683625042685022,0.0020223984390862,Industrial
ADP,,,,,PearsonVII,,9.774471314367022e-05,0.0009868138197073,0.082895179546119,0.8987917632362349,7.578703388118467,0.0009868138197073,Industrial
BA,,,,,PearsonVII,,-5.987614000374292e-05,0.0016251923825083,-0.036681594918594,0.8796904371123718,6.537709814204697,0.0016251923825083,Industrial
CAT,,,,,PearsonVII,,1.078036131932515e-05,0.0003883891277773,0.0279857779952283,0.96574398947626,19.42477603746271,0.0003883891277773,Industrial
CSCO,,,,,PearsonVII,,-1.827227748497912e-05,0.000682010919211,-0.028055434215978,0.9404307424037852,12.166542333019017,0.000682010919211,Industrial
DE,,,,,PearsonVII,,4.608111317533531e-05,0.0009797925155068,0.03895908972424,0.9164035321862531,8.956844017003803,0.0009797925155068,Industrial
EMR,,,,,PearsonVII,,-3.375121213063539e-05,0.0003427041930192,-0.096851246582528,0.9731185662324292,24.09526910618196,0.0003427041930192,Industrial
FDX,,,,,PearsonVII,,2.7659666454892487e-05,0.0016583300935814,0.0140201822410333,0.8512910819586098,5.480039525920458,0.0016583300935814,Industrial
GE,,,,,PearsonVII,,2.5475077978654e-05,0.0001640674772946,0.1526751846857813,0.98328947879137,30.153004724076496,0.0001640674772946,Industrial
HON,,,,,PearsonVII,,1.5173554115372603e-05,0.0002551308561413,0.0584277271589573,0.9684249152244144,20.46779492171352,0.0002551308561413,Industrial
HPQ,,,,,PearsonVII,,3.818048228868386e-05,0.0034095045653521,-0.0086377655273845,0.7622021159516847,3.803463781397293,0.0034095045653521,Industrial
IBM,,,,,PearsonVII,,-2.889177491763377e-06,0.0002891416637098,-0.0100646578408197,0.96616114260438,19.58493873193706,0.0002891416637098,Industrial
INTC,,,,,PearsonVII,,-0.0002334095045963,0.012316953332528,-0.0325920335566895,0.2635718441652984,2.1,0.012316953332528,Industrial
LMT,,,,,PearsonVII,,3.0002306953956703e-05,0.0001809869620479,0.1651053643467089,0.9821679030029375,29.48057953591934,0.0001809869620479,Industrial
MMM,,,,,PearsonVII,,-1.9282338799964984e-05,0.0001939037456975,-0.0965640242147329,0.9816539699779496,29.171721018092917,0.0001939037456975,Industrial
MSFT,,,,,PearsonVII,,0.0002044198739827,0.0097388207387201,-0.0222991502778913,0.2683336795286201,2.1,0.0097388207387201,Industrial
NVDA,,,,,PearsonVII,,0.0001675972176924,0.0196882791096643,-0.0447798141602763,0.2931374224544719,2.1,0.0196882791096643,Industrial
ORCL,,,,,PearsonVII,,3.410683931775149e-06,0.0001398884172571,0.0237680468580186,0.9942837197578416,43.3575211625606,0.0001398884172571,Industrial
PH,,,,,PearsonVII,,-6.390523431650522e-05,0.0004373273453458,-0.1425999299380455,0.9650872268480668,19.174506218535345,0.0004373273453458,Industrial
QCOM,,,,,PearsonVII,,8.177612634289796e-05,0.00072533828981,0.1080720382207245,0.951479402311352,14.479859383627176,0.00072533828981,Industrial
UNP,,,,,PearsonVII,,-6.0070896955006185e-05,0.0003828254842236,-0.1505795026182326,0.9638729704471152,18.718177396935705,0.0003828254842236,Industrial
UPS,,,,,PearsonVII,,-4.403705946920125e-05,0.0003477487262035,-0.1221195959216645,0.968157504670704,20.36241648708884,0.0003477487262035,Industrial
XRX,,,,,PearsonVII,,-7.596612368996265e-05,0.0009513465037007,-0.0770032038277227,0.937962985157516,11.632593373147976,0.0009513465037007,Industrial
