ticker,regime,boot_id,n,AIC_Normal,BIC_Normal,logL_Normal,AIC_StudentT,BIC_StudentT,logL_StudentT,nu_hat,AIC_PearsonVII,BIC_PearsonVII,logL_PearsonVII,m_hat,scale_hat,Best_AIC
FDX,High,3,2069,5867.100308694087,5867.100308694087,-2933.5501543470436,5808.735865709581,5814.370686387327,-2903.3679328547905,13.90236283490256,5739.933707376734,5751.203348732225,-2867.966853688367,3.390513825962635,1.9444513204155949,PearsonVII
FDX,High,4,2069,5830.411914783359,5830.411914783359,-2915.2059573916795,5797.802101409758,5803.436922087503,-2897.901050704879,16.26868991019521,5732.459433107757,5743.729074463248,-2864.2297165538785,3.2981224031035223,1.8980221986633143,PearsonVII
FDX,High,5,2069,5883.764302306484,5883.764302306484,-2941.882151153242,5792.195086181335,5797.82990685908,-2895.0975430906674,11.799994626329262,5697.495712664306,5708.765354019797,-2846.747856332153,3.089877725361824,1.7829361493824487,PearsonVII
HON,Low,1,2103,5938.255339307196,5938.255339307196,-2969.127669653598,5897.68360692005,5903.334727095753,-2947.841803460025,15.970503187385773,5835.32391906908,5846.626159420485,-2915.66195953454,3.4262529581606898,1.9613915343931476,PearsonVII
HON,Low,2,2103,5929.851962557448,5929.851962557448,-2964.925981278724,5888.3191193257935,5893.9702395014965,-2943.1595596628968,15.572314169843164,5817.5780034210875,5828.880243772493,-2906.7890017105437,3.244690630273354,1.868800515791738,PearsonVII
HON,Low,3,2103,5875.884542005414,5875.884542005414,-2937.942271002707,5829.184674156531,5834.835794332234,-2913.5923370782657,14.73192098759873,5718.023421335558,5729.325661686963,-2857.011710667779,2.7450477383596756,1.5799662953048905,PearsonVII
HON,Low,4,2103,5934.241271024364,5934.241271024364,-2967.120635512182,5884.671909912959,5890.323030088662,-2941.3359549564793,14.990308811472104,5809.88395868863,5821.186199040035,-2902.941979344315,3.198940073924641,1.8436518717196895,PearsonVII
HON,Low,5,2103,5937.061746895622,5937.061746895622,-2968.530873447811,5893.578248992628,5899.229369168331,-2945.789124496314,15.951806592523726,5830.007505175408,5841.3097455268135,-2913.003752587704,3.407907075774287,1.950511160413179,PearsonVII
HON,Medium,1,2067,5731.920369778498,5731.920369778498,-2865.960184889249,5656.443812776268,5662.077666335949,-2827.221906388134,12.281091018464828,5472.495537122744,5483.763244242108,-2734.247768561372,2.3923325122461296,1.337735325608044,PearsonVII
HON,Medium,2,2067,5780.680746437431,5780.680746437431,-2890.3403732187153,5647.640617389205,5653.274470948886,-2822.8203086946023,11.054344292599346,5444.388819272017,5455.656526391381,-2720.1944096360085,2.362438734665751,1.3120256184404067,PearsonVII
HON,Medium,3,2067,5849.414624389973,5849.414624389973,-2924.7073121949866,5774.72704846548,5780.3609020251615,-2886.36352423274,13.117633295971826,5684.298463611549,5695.566170730913,-2840.1492318057744,3.0481104149203806,1.7592028391770822,PearsonVII
HON,Medium,4,2067,5825.118502182152,5825.118502182152,-2912.559251091076,5791.560482556136,5797.194336115817,-2894.780241278068,16.59388744103341,5729.573594614074,5740.841301733438,-2862.786797307037,3.4043222917586,1.9485350325335578,PearsonVII
